task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_features,fit_seconds,selected_stop_reason
0,ligand_ohe,split_000,lolo,AmPhos,0,0,42,2688,384,42,0.6732662399870919,18.064492036641305,13.152164381543797,0.606328074775401,4.512574424325399,12.26569460084041,0.03833745874587459,0.11040402156590147,0.4713541666666667,16.54617057460455,0.6901041666666666,31.438240236397956,0.8177083333333334,48.0806393260292,5,29.574937969446182,fixed_epoch_budget_no_plateau_test
1,ligand_ohe,split_001,lolo,CataCXium A,0,1,42,2688,384,42,0.6898189384086446,17.21869440148548,13.056236186822256,0.6433394306994825,4.424273962699707,12.028141376872858,0.0876526402640264,0.12024304024956768,0.4505208333333333,16.225716145220257,0.6822916666666666,30.829366824246392,0.8307291666666666,47.14944779925363,5,19.64448816049844,fixed_epoch_budget_no_plateau_test
2,ligand_ohe,split_002,lolo,P(Cy)3,0,2,42,2688,384,42,0.6953026184400917,16.342709982729133,11.77883217672507,0.6741103937014624,4.334066352047279,11.891494013369083,0.024757632013201324,0.06496007256451121,0.5130208333333334,16.041381653071028,0.7239583333333334,30.479125538994783,0.8619791666666666,46.61379997715414,5,20.106211125850677,fixed_epoch_budget_no_plateau_test
3,ligand_ohe,split_003,lolo,P(Ph)3,0,3,42,2688,384,42,0.6925466633737047,18.421310041881156,13.346688420176505,0.644798043762346,4.592989380269553,12.08449718852838,0.15885313531353135,-0.09470770743616695,0.4817708333333333,16.301738979871516,0.7213541666666666,30.973812581555734,0.8255208333333334,47.37035852158232,5,20.110621778294444,fixed_epoch_budget_no_plateau_test
4,ligand_ohe,split_004,lolo,P(o-Tol)3,0,4,42,2688,384,42,0.44506736769949296,20.456814595972247,15.564596721132597,0.6166368624451349,4.812087869048548,12.188933581113815,0.19492574257425746,0.16525740904004613,0.3776041666666667,16.44262153256418,0.6197916666666666,31.24149382639112,0.7890625,47.77974165786781,5,20.03042081091553,fixed_epoch_budget_no_plateau_test
5,ligand_ohe,split_005,lolo,P(tBu)3,0,5,42,2688,384,42,0.5375034694886589,19.65870004238543,13.660644500454266,0.6255499436107971,4.842475428194174,11.446239163478216,0.10835189768976898,0.0005544064290800584,0.4348958333333333,15.440741988118058,0.6979166666666666,29.33789143910685,0.8046875,44.86843303769836,5,19.71903915051371,fixed_epoch_budget_no_plateau_test
6,ligand_ohe,split_006,lolo,SPhos,0,6,42,2688,384,42,0.27256210643035894,23.802836902490252,16.577466009060544,0.5351683628654772,5.438797324877311,11.60562534381946,0.056501650165016494,0.2634460513376962,0.4114583333333333,15.655750678044205,0.5989583333333334,29.746414656991835,0.765625,45.49321538390284,5,19.999669511802495,fixed_epoch_budget_no_plateau_test
7,ligand_ohe,split_007,lolo,XPhos,0,7,42,2688,384,42,-0.0020100423259445943,27.042052422692684,19.806075089971223,0.4595026503922228,6.0605122873443795,11.587731572488943,0.0866604785478548,0.29222983283035503,0.3333333333333333,15.631612347334633,0.5286458333333334,29.7005510756676,0.671875,45.42307308919203,5,20.027034651488066,fixed_epoch_budget_no_plateau_test
8,ligand_ohe,split_008,iid_matched,,0,0,42,2688,384,42,0.9232766883552189,8.434062930769562,5.832445533474286,0.8151724561360278,3.731450724220488,13.925453829268614,0.10336839933993398,0.04334352005696653,0.8046875,18.785151749340915,0.9505208333333334,35.692374311636485,0.9973958333333334,54.58677594748374,5,29.3923179237172,fixed_epoch_budget_no_plateau_test
9,ligand_ohe,split_009,iid_matched,,0,1,42,2688,384,42,0.9303509846393506,7.792806400491364,5.739121539791424,0.8126780814358134,3.7158870598172324,14.077469743788242,0.10359117161716168,0.05946114916415177,0.8177083333333334,18.99021810176126,0.9609375,36.08200677811713,1.0,55.18266738255451,5,19.736768235452473,fixed_epoch_budget_no_plateau_test
10,ligand_ohe,split_010,iid_matched,,0,2,42,2688,384,42,0.9245203619402262,8.342192367398221,5.739535577297211,0.81244645303495,3.7306057873964478,13.971698520084223,0.10610045379537954,0.09878882540436064,0.7942708333333334,18.84753488925314,0.9427083333333334,35.810904223462224,0.9895833333333334,54.7680518044333,5,20.111440599896014,fixed_epoch_budget_no_plateau_test
11,ligand_ohe,split_011,iid_matched,,0,3,42,2688,384,42,0.9169267025752478,8.627783737985665,6.153095522522928,0.800614708573276,3.7446867321720596,14.005124198893705,0.09609632838283828,0.03550701909057001,0.8020833333333334,18.89262544475383,0.9505208333333334,35.89657768547759,0.984375,54.899078057684086,5,20.10935260821134,fixed_epoch_budget_no_plateau_test
12,ligand_ohe,split_012,iid_matched,,0,4,42,2688,384,42,0.9237963109573798,8.202714333097877,5.786510833104451,0.815947126265126,3.7269104035876044,13.931634585062662,0.10259385313531351,0.0327235427757621,0.7942708333333334,18.79348946220402,0.9557291666666666,35.70821622616471,0.9973958333333334,54.61100406499088,5,20.034088897518814,fixed_epoch_budget_no_plateau_test
13,ligand_ohe,split_013,iid_matched,,0,5,42,2688,384,42,0.940367177749583,7.401058627423025,5.209791293938955,0.831027006014644,3.7022465793100228,14.117778331041336,0.11762788778877886,0.000388254043606524,0.8333333333333334,19.044593559655453,0.9739583333333334,36.18532184431532,0.9947916666666666,55.34067414112203,5,19.71467773336917,fixed_epoch_budget_no_plateau_test
14,ligand_ohe,split_014,iid_matched,,0,6,42,2688,384,42,0.928542385038186,7.979750553313562,5.557036518851916,0.806476404502758,3.7342205925623673,14.26623816539844,0.11210911716171615,-0.022632540436065243,0.8411458333333334,19.2448628328348,0.9557291666666666,36.565839710597,0.9921875,55.92262599810342,5,19.999204406514764,fixed_epoch_budget_no_plateau_test
15,ligand_ohe,split_015,iid_matched,,0,7,42,2688,384,42,0.9132896034882226,8.959159018108382,6.1663328911860775,0.8131748581896399,3.7602420858535566,13.935911118984222,0.0969214108910891,-0.015894679732799837,0.7760416666666666,18.799258418796928,0.953125,35.71917742364926,0.984375,54.627767769920716,5,20.024862583726645,fixed_epoch_budget_no_plateau_test
16,ligand_ohe,split_016,kfold,,0,0,42,2457,615,42,0.9219926703304759,8.344323155720394,5.892212590535482,0.8121460966728956,3.738599822298136,14.048571009752227,0.10211543105530065,0.0036234044814326067,0.808130081300813,18.95123430195939,0.9528455284552846,36.007936342424905,0.9951219512195122,55.06938642673573,5,28.03931920044124,fixed_epoch_budget_no_plateau_test
